"group","name","nameFAFB","skid","bodyid","flywire","transmitter","edit","layer"
"HS","LPT01_R_HSN","Putative HSN 830794 ZSG",830793,2211443902,"720575940628031249","acetylcholine","0","1"
"HS","LPT02_R_HSE","Putative HSE 827035 ECS ZSG",827034,1807537598,"720575940642723981","acetylcholine","0","1"
"HS","LPT03_R_HSS","Putative HSS 408972 SJH ZSG",4058824,2179731270,"720575940622312965","acetylcholine","0","1"
"HST","LPT04_R_HST","LP neuron 985775 ZSG",985774,5813042688,"720575940612296154","acetylcholine","0","1"
"VS","LPT05_R_VS1","VSN-Like 982898 ZSG",982897,5813024262,"720575940626477498","acetylcholine","0","2,4"
"VS","LPT06_R_VS2","putative VSN 793033 ZSG",793032,1868619183,"720575940615269794","acetylcholine","0","2,4"
"VS","LPT07_R_VS3","Putative VSN 815777 ZSG",815776,5813025091,"720575940622831740","acetylcholine","0","1,4"
"VS","LPT08_R_VS4","Putative VSN 852994 JLME ZSG",17686499,1557885051,"720575940633017939","acetylcholine","0","1,4"
"VS","LPT09_R_VS5","Putative VSN 807402 ZSG",807401,5813033533,"720575940626457406","acetylcholine","1","1,4"
"VS","LPT10_R_VS6","putative VSN 804540 ZSG",804539,1992161820,"720575940605688492","acetylcholine","1","1,4"
"VS","LPT11_R_VS7","Putative VSN 851433 ZSG",851432,1868255513,"720575940624931564","acetylcholine","0","1,4"
"VS","LPT12_R_VS8","Putative VSN 804093 ZSG",804092,1558230909,"720575940633923298","acetylcholine","0","1,4"
"VS","LPT13_R_VSm-1","Putative VSN 852287 ZSG",852286,1836516710,"720575940620463307","acetylcholine","0","2,4"
"VS","LPT13_R_VSm-2","Putative VSN 815242 ZSG",815241,1805481901,"720575940630825527","acetylcholine","1","2,4"
"VST","LPT15_R_VST1-1","Putative Twin VSN 1124868 PG",1124867,NA,"720575940626947971","acetylcholine","0","4"
"VST","LPT15_R_VST1-2","Putative Twin VSN 988675 ZSG",988674,5812993165,"720575940645317412","acetylcholine","0","4"
"VST","LPT17_R_VST2-1","Putative Twin VSN 1123390 PG",1123389,1837198715,"720575940607420290","acetylcholine","1","1,4"
"VST","LPT17_R_VST2-2","Putative Twin VSN 1112634 GA",1112633,5813023313,"720575940646114926","acetylcholine","0","1,4"
"VST","LPT17_R_VST2-3","Putative Twin VSN 2852913 PG",2852912,5813049185,"720575940635615339","acetylcholine","0","1,4"
"VST","LPT17_R_VST2-4","Putative Twin VSN 5031616",5031615,5813023581,"720575940628452520","acetylcholine","0","1,4"
"Ipsilateral","LPT21_R","LP neuron 1110766 GA ZSG",1110765,1850310331,"720575940610781560","acetylcholine","1","2"
"Ipsilateral","LPT22_R","LP neuron 3511000 CPM",3510999,1501708149,"720575940610061763","gaba","1","2"
"Ipsilateral","LPT23_R-1","LP neuron 4135043 PG",4135042,1842090544,"720575940617304949","acetylcholine","1","2"
"Ipsilateral","LPT23_R-2","LP neuron 4504549 NAS CPM",4504548,1751364895,"720575940632545080","acetylcholine","1","2"
"Ipsilateral","LPT23_R-3","neuron 4504558 NAS",4504557,1751028010,"720575940619638395","acetylcholine","1","2"
"Ipsilateral","LPT26_R","LP neuron 886798 ZSG",1107045,1747289181,"720575940630691895","acetylcholine","0","1,3"
"Ipsilateral","LPT27_R","LP neuron 3514699 CPM",3514698,1747608690,"720575940630990300","acetylcholine","1","4"
"Ipsilateral","LPT28_R","LP neuron 1071861 ZSG",1071860,1407904797,"720575940620898324","acetylcholine","1","3"
"Ipsilateral","LPT29_R","neuron 7760436 CL",7760435,5813087982,"720575940632216899","acetylcholine","0","4"
"Ipsilateral","LPT30_R","neuron 7674108 BG",7674107,1777301335,"720575940624047654","acetylcholine","1","4"
"Posterial","LPT31_R-1","neuron 7690274 CL",7690273,1622471963,"720575940634166242","acetylcholine","1","1,3,4"
"Posterial","LPT31_R-2","neuron 7311409 CL",7311408,1434427171,"720575940616260146","acetylcholine","1","1,3,4"
"Posterial","LPT31_R-3","neuron 7311494 CL",7311493,1434427905,"720575940629577475","acetylcholine","1","1,3,4"
"Posterial","LPT31_R-4","neuron 7694306 CL",7694305,1344082025,"720575940629567055","acetylcholine","1","1,3,4"
"CH","LPT35_R_dCH","DCH neuron (right) 1077175 ZSG-GA",1077174,1466485353,"720575940636933751","gaba","1","1"
"CH","LPT36_R_vCH","VCH neuron (right) 1078536 GA-ZSG",1078535,5813024201,"720575940627138562","gaba","0","1"
"H1","LPT37_R_H1","H1 neuron (right) 1121731 ZSG",1121730,676832896,"720575940660765569","glutamate","1","2"
"Noduli","LPT38_R_Nod1-1","LPTCNod #2 (right) 1054754 MBR",1054753,5812996970,"720575940609132043","acetylcholine","1","1"
"Noduli","LPT38_R_Nod1-2","LPTCNod #4 (right) 3546484 PG",3546483,5812993603,"720575940628438427","acetylcholine","1","1"
"Noduli","LPT40_R_Nod2","LPTCNod #1 (right) 902073 ZSG",902072,1315529069,"720575940623235683","gaba","1","1"
"Noduli","LPT41_R_Nod3","LPTCNod #3 (right) 859402 MBR",1058996,1352706891,"720575940623384781","acetylcholine","1","2"
"Noduli","LPT42_R_Nod4","LPTCNod #5 (right) 1058997 ZSG MBR",1106958,1566524544,"720575940625992781","acetylcholine","1","2"
"Noduli","LPT43_R_H2","H2 neuron (right) 1088679 ZSG",1088678,1534124048,"720575940627079938","acetylcholine","1","2"
"Noduli","LPT44_R_Nod5","LPTCNod #6 (right) 1121796 ZSG GA",1121795,1899956171,"720575940633685459","acetylcholine","1","3"
"Calyx","LPT45_R_dCal1","dCal1 neuron (right) 3511263 CPM",7204844,943813788,"720575940628350997","gaba","1","4"
"Calyx","LPT46_R_vCal1","vCal1 neuron (right) 7503963 CL",7510076,1005174931,"720575940641223888","glutamate","1","2,4"
"Calyx","LPT47_R_vCal2","vCal2 neuron (right) 7456394 BG",3529071,1005174975,"720575940618653524","glutamate","1","4"
"Calyx","LPT48_R_vCal3","vCal3 neuron (right) 1056098 MBR",1056097,974502819,"720575940626919780","acetylcholine","1","3"
"Bilateral","LPT49_R","LP neuron 1110694 GA ZSG",1110693,1654969939,"720575940638155998","acetylcholine","1","4"
"Bilateral","LPT50_R","LP neuron 905762 ZSG",905761,1496497366,"720575940655599777","gaba","1","2,3"
"Ipsilateral","LPT51_R","neuron 4224712 ME",4224711,1313496323,"720575940608287701","glutamate","3",NA
"Ipsilateral","LPT52_R","LP neuron 1107297 GA",1107296,1469291436,"720575940640716928","acetylcholine","3","excl"
"Ipsilateral","LPT53_R","LP neuron 1111993 GA ZSG",1111992,1231610379,"720575940653093110","gaba","3","excl"
"Ipsilateral","LPT54_R","Putative Medulla-LP neuron 4235389 PG",4235388,1129033939,"720575940655602849","acetylcholine","3","excl"
"Bilateral","LPT55_R_MeLp2","LP neuron 1061369 ZSG",1061368,1558226341,"720575940617422731","glutamate","3","excl"
"Bilateral","LPT56_R_MeLp1","Putative Mt_VPN LP neuron 3509521 CPM",3509520,5813068976,"720575940655602849","acetylcholine","3","excl"
"Bilateral","LPT57_R","LP neuron 1107046 ZSG",886797,5901198180,"720575940632041746","acetylcholine","3","excl"
"Bilateral","LPT58_R_V1","LP neuron 1059421 ZSG",1059420,NA,"720575940621291873","acetylcholine","3","excl"
